Average Distance,Average X,Average Y,Average Pairwise Distance,timestamp
204938.9331,217,145,173.3434,2021-10-01 11:25:18
97443.6154,207,164,178.2464,2021-10-02 08:29:26
97443.6154,-1,-1,-1.0,2021-10-01 23:27:11
107271.3171,235,129,128.4123,2021-10-01 08:44:39
204655.1323,206,141,170.8897,2021-10-01 15:15:09
204655.1323,-1,-1,-1.0,2021-10-02 02:53:03
204655.1323,-1,-1,-1.0,2021-10-01 18:05:51
204655.1323,-1,-1,-1.0,2021-10-02 04:38:29
166039.2746,224,139,153.1475,2021-10-01 12:29:29
166039.2746,-1,-1,-1.0,2021-10-02 05:08:36
104250.5092,199,139,142.2458,2021-10-01 17:35:43
104250.5092,-1,-1,-1.0,2021-10-01 21:51:47
39534.3971,133,93,95.9221,2021-10-02 05:43:45
136445.1426,199,170,189.516,2021-10-01 10:50:09
70009.4952,223,154,154.4647,2021-10-02 05:48:47
70009.4952,-1,-1,-1.0,2021-10-01 23:12:07
133858.3189,220,156,183.0681,2021-10-02 09:34:42
124697.4973,230,125,166.013,2021-10-02 09:14:37
162109.7812,215,137,145.0341,2021-10-01 12:14:26
57558.8969,246,166,133.8117,2021-10-01 17:40:44
140057.4122,208,139,169.8745,2021-10-01 14:45:02
186210.3458,200,165,168.5902,2021-10-01 17:00:35
14539.1263,53,34,52.3918,2021-10-01 17:50:47
14539.1263,-1,-1,-1.0,2021-10-01 19:41:15
14539.1263,-1,-1,-1.0,2021-10-01 18:56:03
14539.1263,-1,-1,-1.0,2021-10-01 22:11:52
14539.1263,-1,-1,-1.0,2021-10-02 05:03:35
222573.1514,240,159,162.1058,2021-10-01 16:40:30
222573.1514,-1,-1,-1.0,2021-10-02 01:42:45
139282.1784,218,138,171.7635,2021-10-02 08:44:29
139282.1784,-1,-1,-1.0,2021-10-02 04:33:28
139282.1784,-1,-1,-1.0,2021-10-02 01:52:47
76962.5102,210,141,149.5946,2021-10-02 06:03:50
76962.5102,-1,-1,-1.0,2021-10-02 04:48:31
118305.4548,208,168,189.9868,2021-10-01 09:59:57
118305.4548,-1,-1,-1.0,2021-10-01 23:02:05
153264.9236,255,150,170.1999,2021-10-01 12:59:37
153264.9236,-1,-1,-1.0,2021-10-01 21:36:43
153264.9236,-1,-1,-1.0,2021-10-02 02:02:50
21206.9356,347,130,89.6572,2021-10-01 12:00:26
118178.8072,213,160,192.8579,2021-10-02 08:24:24
152669.163,215,147,159.7456,2021-10-01 12:19:27
152669.163,-1,-1,-1.0,2021-10-02 02:58:04
201266.7812,221,149,160.4532,2021-10-01 13:59:51
201266.7812,-1,-1,-1.0,2021-10-02 02:12:52
201266.7812,-1,-1,-1.0,2021-10-02 03:58:19
154559.3556,224,145,169.7535,2021-10-02 08:34:27
154559.3556,-1,-1,-1.0,2021-10-02 01:07:36
154559.3556,-1,-1,-1.0,2021-10-02 03:33:13
140921.497,217,158,180.7913,2021-10-02 09:29:40
84001.3067,193,117,153.4172,2021-10-02 06:18:54
128186.8205,196,150,174.666,2021-10-02 09:09:35
155656.5819,214,154,152.5996,2021-10-01 14:24:57
99347.0389,184,137,160.4045,2021-10-02 06:13:53
99347.0389,-1,-1,-1.0,2021-10-01 22:47:01
196976.2343,228,132,144.8215,2021-10-01 11:30:19
196976.2343,-1,-1,-1.0,2021-10-02 04:23:25
107268.7652,237,174,177.4257,2021-10-02 08:04:20
107268.7652,-1,-1,-1.0,2021-10-02 03:08:06
107268.7652,-1,-1,-1.0,2021-10-01 20:01:20
105945.2275,234,153,141.5714,2021-10-01 17:25:41
126025.0067,206,146,146.6497,2021-10-01 17:10:37
126025.0067,-1,-1,-1.0,2021-10-02 00:52:32
126025.0067,-1,-1,-1.0,2021-10-02 02:48:01
132630.1881,202,156,173.1775,2021-10-01 15:55:19
132630.1881,-1,-1,-1.0,2021-10-01 20:46:31
114084.8608,208,147,183.8194,2021-10-01 09:19:47
96433.4884,188,137,167.7686,2021-10-01 09:39:52
96433.4884,-1,-1,-1.0,2021-10-01 19:46:16
146229.43,213,152,155.0008,2021-10-01 14:29:58
113130.521,226,159,180.8273,2021-10-01 09:49:55
115557.9177,200,159,189.6641,2021-10-01 10:30:04
108744.0961,208,127,157.0776,2021-10-02 07:49:16
90584.5507,236,142,139.5732,2021-10-01 17:30:42
77040.2319,301,106,120.3195,2021-10-01 12:04:23
118899.8677,204,163,181.5962,2021-10-01 10:04:58
118899.8677,-1,-1,-1.0,2021-10-01 19:56:18
118899.8677,-1,-1,-1.0,2021-10-02 00:42:30
123879.6366,224,134,151.8804,2021-10-01 08:49:40
123879.6366,-1,-1,-1.0,2021-10-02 02:32:58
129028.0418,222,149,163.5949,2021-10-02 08:14:22
122481.0681,206,138,164.7894,2021-10-01 15:40:15
161737.514,202,157,164.1429,2021-10-01 16:00:20
122585.2009,258,154,164.1364,2021-10-02 09:24:39
163947.5923,176,146,173.3187,2021-10-01 15:25:12
2490.0686,364,158,124.8361,2021-10-01 11:18:02
2490.0686,-1,-1,-1.0,2021-10-01 22:26:56
2490.0686,-1,-1,-1.0,2021-10-02 04:18:24
2490.0686,-1,-1,-1.0,2021-10-02 04:03:20
170646.4141,216,164,165.4195,2021-10-01 13:39:46
170646.4141,-1,-1,-1.0,2021-10-01 18:51:02
174384.8686,223,147,163.4243,2021-10-01 14:04:52
174384.8686,-1,-1,-1.0,2021-10-01 20:41:30
174384.8686,-1,-1,-1.0,2021-10-02 01:22:40
174384.8686,-1,-1,-1.0,2021-10-01 19:51:17
51402.5652,274,77,96.1344,2021-10-01 11:55:25
51402.5652,-1,-1,-1.0,2021-10-01 20:06:21
51402.5652,-1,-1,-1.0,2021-10-02 04:43:30
51402.5652,-1,-1,-1.0,2021-10-01 23:07:06
100175.1477,191,146,170.2203,2021-10-02 07:34:12
119637.4468,200,143,171.698,2021-10-01 09:14:46
162386.2431,248,148,179.1776,2021-10-01 13:09:39
174227.3888,252,143,184.1352,2021-10-01 13:04:38
174227.3888,-1,-1,-1.0,2021-10-02 01:17:39
